gene symbol,ID,type of marker,Source/PMID
Slc17a6,ENSMUST00000032710,"celltypes: SubCorticalEXC,THGL,celltype","34616068,YangSlides,Xiaowei"
Foxp2,ENSMUST00000115477,"celltypes: STRGA,THGL","30096314,YangSlides"
Slc6a4,ENSMUST00000021195,"celltypes: Sero,SEROHB","XiaoweiGroup,YangSlides"
Oxtr,ENSMUST00000053306,"celltypes: PYRGA,TEGLUT19","YangSlides,30096314"
Pf4,ENSMUST00000031320,"celltypes: PVM1,PVM2",30096314
Kcng1,ENSMUST00000109191,"celltypes: PTGL,TEGLUT22",30096314
Flt1,ENSMUST00000031653,"celltypes: PER,VEC,celltype","32236824,Xiaowei"
Nts,ENSMUST00000020040,"celltypes: PEPT4,PYRGA",YangSlides
Sim1,ENSMUST00000020071,"celltypes: OXYT,VASO",30096314
Ndst4,ENSMUST00000173932,"celltypes: OBGL,TEGLUT18,celltype","30096314,Xiaowei"
Abi3bp,ENSMUST00000096012,"celltypes: OBGL,TEGLUT18",30096314
Klhl14,ENSMUST00000122333,"celltypes: OBGL,TEGLUT18",30096314
Lgr5,ENSMUST00000020350,"celltypes: OBDOP,OBGA1",30096314
Hes5,ENSMUST00000049621,"celltypes: NIPC,RGL",30096314
Mlc1,ENSMUST00000042594,"celltypes: NIPC,RGL",30096314
Thrsp,ENSMUST00000043077,"celltypes: NIPC,RGL",30096314
Hopx,ENSMUST00000113453,"celltypes: NIPC,RGDG,RGL",30096314
Tac1,ENSMUST00000185187,"celltypes: MXD,STRGA",30096314
Nkx2-1,ENSMUST00000178477,"celltypes: MSGA,PMCH","28813670, 30096310"
Ccp110,ENSMUST00000106557,"celltypes: MFOL,MFOL",30096314
Chat,ENSMUST00000070125,"celltypes: MBRN,MSGA,TECHO,TECHO,celltype","27716510,30096314,Xiaowei"
Satb2,ENSMUST00000177424,"celltypes: ITL5GL,ITL6GL",30096314
Rorb,ENSMUST00000112832,"celltypes: ITL4GL,ITL5GL,celltype","30382198,30096314,Xiaowei"
Ovol2,ENSMUST00000037423,"celltypes: ITL4GL,ITL5GL",30096314
Lamp5,ENSMUST00000057503,"celltypes: ITL23GL,LAMGA,TEGLUT7,celltype","30096314,30382198,Xiaowei"
Tshz2,ENSMUST00000109159,"celltypes: ITHGL,NPGL,celltype","30096314,30382198,Xiaowei"
Cnksr3,ENSMUST00000015346,"celltypes: IOL,NFOL",30096314
Gad2,ENSMUST00000028123,"celltypes: HYGA,INH,PURKCB,PURKMY,THGA,celltype","YangSlides,34616068,Xiaowei"
Ntf3,ENSMUST00000204542,"celltypes: GRC,DGGRC1",30096314
Gabra6,ENSMUST00000155218,"celltypes: GRANCB,GRANMY",YangSlides
Neurod1,ENSMUST00000041099,"celltypes: GRANCB,GRANMY",YangSlides
En1,ENSMUST00000079721,"celltypes: DOPMB,MBDOP1","27716510|YangSlides,30096314"
Slc6a3,ENSMUST00000022100,"celltypes: Dopa,DOPMB,MBDOP2","XiaoweiGroup,27716510|YangSlides,30096314"
Igfbpl1,ENSMUST00000044297,"celltypes: DGNBL,OBNBL",30096314
Drd1,ENSMUST00000221470,"celltypes: D1MSN,STRGA,celltype","30096314,Xiaowei"
Neu4,ENSMUST00000050890,"celltypes: COP,IOL",30096314
Lhx8,ENSMUST00000205251,"celltypes: CHOLIAMY,PEPT6","27767183|26102004,YangSlides"
Slc17a7,ENSMUST00000085374,"celltypes: CHOLHA,CorticalEXC,celltype","YangSlides,34616068,Xiaowei"
Slc1a6,ENSMUST00000005490,"celltypes: CBPC,PURKCB,PURKMY","30096314,YangSlides"
Olig2,ENSMUST00000035608,"celltypes: ASCN,OPC,age","34616068,26134004,Xiaowei"
Gfap,ENSMUST00000067444,"celltypes: ASC,ASCW,celltype,age","YangSlides,34616068,Xiaowei"
Mgp,ENSMUST00000032342,"celltypes: ABC,VPIA","30096314, 34616060"
Slc47a1,ENSMUST00000010267,"celltypes: ABC,VPIA","30096314, 34616060"
Ctss,ENSMUST00000116304,"celltype,age",Xiaowei
B2m,ENSMUST00000102476,"celltype,age",Xiaowei
Bgn,ENSMUST00000033741,"celltype,age",Xiaowei
Trem2,ENSMUST00000024791,"celltype,age",Xiaowei
Il33,ENSMUST00000120388,"celltype,age","Xiaowei,clock genes from https://doi.org/10.1038/s43587-022-00335-4"
C4b,ENSMUST00000069507,"celltype,age","Xiaowei,clock genes from https://doi.org/10.1038/s43587-022-00335-4"
Thbd,ENSMUST00000099270,celltype-VPIA,34616068
Slc6a13,ENSMUST00000064580,celltype-VLMC2,30096314
Dcn,ENSMUST00000105287,celltype-VLMC1,30096314
Fam180a,ENSMUST00000051176,celltype-VLMC1,30096314
Nupr1,ENSMUST00000032961,celltype-VLMC,34616068
Slc22a6,ENSMUST00000010250,celltype-VLMC,34616068
Tbx18,ENSMUST00000034991,celltype-VLMC,34616068
Vip,ENSMUST00000019906,"celltype-VIPGA,celltype","30382198,Xiaowei"
Npas1,ENSMUST00000002053,celltype-VIPGA,30096314
Rgs12,ENSMUST00000114281,celltype-VIPGA,30096314
Cldn5,ENSMUST00000043577,"celltype-VEC,celltype","32236824,Xiaowei"
Slco1a4,ENSMUST00000165990,celltype-VEC,32236824
H2-DMb2,ENSMUST00000236519,celltype-VASO,30096314
Gbx2,ENSMUST00000036954,celltype-THGL,YangSlides
Prkcd,ENSMUST00000112210,celltype-THGL,YangSlides
Adamts15,ENSMUST00000065112,celltype-THGL,YangSlids
Esrrg,ENSMUST00000027906,celltype-THGA,YangSlides
Six3,ENSMUST00000175898,celltype-THGA,YangSlides
St8sia4,ENSMUST00000043336,celltype-THGA,YangSlides
Zic1,ENSMUST00000034927,celltype-TEINH2,30096314
Dkkl1,ENSMUST00000210741,celltype-TEGLUT9,30096314
Galntl6,ENSMUST00000204128,celltype-TEGLUT9,30096314
Krt12,ENSMUST00000017741,celltype-TEGLUT8,30096314
Tcap,ENSMUST00000008021,celltype-TEGLUT8,30096314
A830009L08Rik,ENSMUST00000181054,celltype-TEGLUT7,30096314
Gm12371,ENSMUST00000144029,celltype-TEGLUT7,30096314
Lypd1,ENSMUST00000162899,celltype-TEGLUT22,30096314
Prss23,ENSMUST00000207932,celltype-TEGLUT22,30096314
Bmp3,ENSMUST00000031278,celltype-TEGLUT19,30096314
4930426D05Rik,ENSMUST00000139804,celltype-TEGLUT18,30096314
Rgs14,ENSMUST00000063771,celltype-TEGLUT18,30096314
C130074G19Rik,ENSMUST00000048308,celltype-TEGLUT11,30096314
Igfbp6,ENSMUST00000023807,celltype-TEGLUT11,30096314
Hs3st2,ENSMUST00000084628,celltype-TEGLUT10,30096314
Pde1a,ENSMUST00000102655,celltype-TEGLUT10,30096314
Vipr1,ENSMUST00000035115,celltype-TEGLUT10,30096314
Rxfp1,ENSMUST00000078527,"celltype-TEGLU5,celltype","30096314,Xiaowei"
Fermt1,ENSMUST00000143981,celltype-TEGLU5,30096314
Cdkl4,ENSMUST00000234602,celltype-TEGLU16,30096314
Dbpht2,ENSMUST00000221311,celltype-TEGLU16,30096314
Slc17a8,ENSMUST00000020102,celltype-TECHO,30096314
Slc5a7,ENSMUST00000095712,celltype-TECHO,30096314
Dio2,ENSMUST00000082432,"celltype-TANY,celltype","31133987,Xiaowei"
Vim,ENSMUST00000028062,"celltype-TANY,age","31133987,Xiaowei"
Cdca7,ENSMUST00000102691,celltype-SZNBL,30096314
Rrm2,ENSMUST00000020980,celltype-SZNBL,30096314
Top2a,ENSMUST00000068031,celltype-SZNBL,30096314
Sst,ENSMUST00000004480,"celltype-SSTGA,celltype","30382198,Xiaowei"
Elfn1,ENSMUST00000050519,celltype-SSTGA,30096314
Lypd6b,ENSMUST00000028103,celltype-SSTGA,30096314
Ctxn3,ENSMUST00000091892,celltype-SEPNBL,30096314
Sln,ENSMUST00000048485,celltype-SEPNBL,30096314
Sost,ENSMUST00000001534,celltype-SEPNBL,30096314
Birc5,ENSMUST00000081387,celltype-SATG1,30096314
Rmst,ENSMUST00000218060,celltype-RMSTTH,YangSlides
2810459M11Rik,ENSMUST00000165824,celltype-RGSZ,30096314
