PeakID (cmd=annotatePeaks.pl 500_result/Hypo.hotspot.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
2300	chr11	117123501	117124000	+	0	NA	intron (NM_028777, intron 2 of 16)	intron (NM_028777, intron 2 of 16)	8582	NM_001166506	74136	Mm.272312	NM_028777	ENSMUSG00000020823	Sec14l1	1200017E04Rik|2810012L19Rik|Naa-35	SEC14-like lipid binding 1	protein-coding
1959	chr10	10919501	10920000	+	0	NA	intron (NM_016976, intron 3 of 8)	intron (NM_016976, intron 3 of 8)	162581	NM_001114333	14816	Mm.391904	NM_016976	ENSMUSG00000019828	Grm1	4930455H15Rik|Gm10828|Gprc1a|mGluR1|nmf373|rcw|wobl	glutamate receptor, metabotropic 1	protein-coding
1424	chr7	27366001	27366500	+	0	NA	intron (NM_032610, intron 29 of 35)	intron (NM_032610, intron 29 of 35)	-10242	NM_138676	192192	Mm.21297	NM_138676	ENSMUSG00000089832	Shkbp1	B930062H15Rik|Sb1	Sh3kbp1 binding protein 1	protein-coding
2298	chr11	117139501	117140000	+	0	NA	intron (NM_001363165, intron 1 of 14)	intron (NM_001363165, intron 1 of 14)	3742	NM_001363165	74136	Mm.272312	NM_028777	ENSMUSG00000020823	Sec14l1	1200017E04Rik|2810012L19Rik|Naa-35	SEC14-like lipid binding 1	protein-coding
701	chr4	126792001	126792500	+	0	NA	exon (NM_133886, exon 3 of 21)	exon (NM_133886, exon 3 of 21)	38480	NM_133886	100317	Mm.206206	NM_133886	ENSMUSG00000028830	AU040320	A730047D20Rik|AAVR|Kiaa0319l	expressed sequence AU040320	protein-coding
3107	chr17	47759501	47760000	+	0	NA	intron (NM_001161723, intron 1 of 8)	intron (NM_001161723, intron 1 of 8)	21819	NM_001161723	21425	Mm.2305	NM_011549	ENSMUSG00000023990	Tfeb	Tcfeb|bHLHe35	transcription factor EB	protein-coding
2926	chr15	78673501	78674000	+	0	NA	exon (NM_183141, exon 2 of 2)	exon (NM_183141, exon 2 of 2)	44363	NM_183141	207393	Mm.323188	NM_183141	ENSMUSG00000043460	Elfn2	6330514E13|AW048948|BC094219|Lrrc62|Ppp1r29	leucine rich repeat and fibronectin type III, extracellular 2	protein-coding
1093	chr5	53279001	53279500	+	0	NA	TTS (NM_001145433)	TTS (NM_001145433)	12144	NM_001145433	66278	Mm.27900	NM_001145433	ENSMUSG00000061461	Smim20	1110067B18Rik|1810013D10Rik|N28078	small integral membrane protein 20	protein-coding
2204	chr11	113105001	113105500	+	0	NA	intron (NR_015556, intron 1 of 2)	intron (NR_015556, intron 1 of 2)	96588	NR_015556	72386	Mm.266961	NR_015556	ENSMUSG00000087259	2610035D17Rik	-	RIKEN cDNA 2610035D17 gene	ncRNA
1809	chr9	59675501	59676000	+	0	NA	intron (NM_011099, intron 9 of 10)	intron (NM_011099, intron 9 of 10)	19382	NM_001253883	18746	Mm.326167	NM_011099	ENSMUSG00000032294	Pkm	AA414905|AL024370|AL024424|Pk-2|Pk-3|Pk3|Pkm2	pyruvate kinase, muscle	protein-coding
517	chr3	54722501	54723000	+	0	NA	intron (NR_152185, intron 24 of 26)	intron (NR_152185, intron 24 of 26)	12614	NM_027148	69639	Mm.29253	NM_027148	ENSMUSG00000027752	Exosc8	2310032N20Rik|CIP3|mKIAA4013	exosome component 8	protein-coding
2653	chr13	8206001	8206500	+	0	NA	intron (NM_052977, intron 1 of 9)	intron (NM_052977, intron 1 of 9)	3384	NM_001289530	94191	Mm.425794	NM_052977	ENSMUSG00000052551	Adarb2	Adar3|RED2	adenosine deaminase, RNA-specific, B2	protein-coding
1707	chr8	34168501	34169000	+	0	NA	intron (NM_026432, intron 5 of 5)	intron (NM_026432, intron 5 of 5)	-2038	NR_105820	102465211		NR_105820	ENSMUSG00000098785	Mir6395	Gm27561|mmu-mir-6395	microRNA 6395	ncRNA
458	chr2	121301501	121302000	+	0	NA	exon (NM_001173506, exon 4 of 6)	exon (NM_001173506, exon 4 of 6)	6296	NM_001173506	17754	Mm.36501	NM_032393	ENSMUSG00000027254	Map1a	6330416M19Rik|AI853608|Mtap-1|Mtap1|Mtap1a|moth1	microtubule-associated protein 1 A	protein-coding
1281	chr7	109025501	109026000	+	0	NA	intron (NM_021885, intron 6 of 11)	intron (NM_021885, intron 6 of 11)	14870	NM_021885	22141	Mm.439722	NM_021885	ENSMUSG00000031028	Tub	rd5|tub	tubby bipartite transcription factor	protein-coding
1007	chr5	125158501	125159000	+	0	NA	intron (NM_001253904, intron 1 of 47)	intron (NM_001253904, intron 1 of 47)	20464	NM_001253904	20602	Mm.278646	NM_011424	ENSMUSG00000029478	Ncor2	N-CoR|SMRT|SMRTe	nuclear receptor co-repressor 2	protein-coding
2895	chr15	81815001	81815500	+	0	NA	exon (NM_017376, exon 2 of 4)	exon (NM_017376, exon 2 of 4)	3836	NM_017376	21685	Mm.270278	NM_017376	ENSMUSG00000022389	Tef	2310028D20Rik	thyrotroph embryonic factor	protein-coding
3193	chr17	27194501	27195000	+	0	NA	intron (NM_146075, intron 5 of 8)	intron (NM_146075, intron 5 of 8)	9688	NM_146075	224640	Mm.29689	NM_146075	ENSMUSG00000044857	Lemd2	BC026588|Lem2|NET25	LEM domain containing 2	protein-coding
1554	chr8	120505001	120505500	+	0	NA	intron (NM_198671, intron 1 of 15)	CpG	16384	NM_198671	382034	Mm.334856	NM_198671	ENSMUSG00000031822	Gse1	2210013I18Rik|mKIAA0182	genetic suppressor element 1, coiled-coil protein	protein-coding
3417	chr19	4744001	4744500	+	0	NA	exon (NM_021287, exon 21 of 37)	exon (NM_021287, exon 21 of 37)	-12275	NM_025717	66704	Mm.396734	NM_025717	ENSMUSG00000033760	Rbm4b	4921506I22Rik|AI504630|AI506404|Lark2|Neosin	RNA binding motif protein 4B	protein-coding
1266	chr6	31160001	31160500	+	0	NA	intron (NR_110471, intron 2 of 3)	intron (NR_110471, intron 2 of 3)	58224	NR_110470	232685	Mm.443019	NM_144555	ENSMUSG00000044471	Lncpint	Lincpint|MNCb-1768|Pint|linc-Pint	long non-protein coding RNA, Trp53 induced transcript	ncRNA
822	chr5	113843501	113844000	+	0	NA	3' UTR (NM_011779, exon 11 of 11)	3' UTR (NM_011779, exon 11 of 11)	-13249	NM_009151	20345	Mm.332590	NM_009151	ENSMUSG00000048163	Selplg	CD162|Psgl-1|Psgl1|Selp1|Selpl	selectin, platelet (p-selectin) ligand	protein-coding
1793	chr9	69870501	69871000	+	0	NA	Intergenic	Intergenic	109604	NR_040765	319970	Mm.186434	NR_040765	ENSMUSG00000097623	B230323A14Rik	-	RIKEN cDNA B230323A14 gene	ncRNA
2160	chr11	84900501	84901000	+	0	NA	intron (NM_025414, intron 15 of 24)	intron (NM_025414, intron 15 of 24)	15616	NM_001359182	448850	Mm.379733	NM_001005223	ENSMUSG00000020526	Znhit3	Myohd1|TRIP-3|Trip3	zinc finger, HIT type 3	protein-coding
299	chr2	153512001	153512500	+	0	NA	intron (NM_001134300, intron 1 of 10)	intron (NM_001134300, intron 1 of 10)	17721	NM_001134300	329540	Mm.50600	NM_001001986	ENSMUSG00000061411	Nol4l	4931410H15|8430427H17Rik|AI429157|Gm1636	nucleolar protein 4-like	protein-coding
560	chr4	116153001	116153500	+	0	NA	intron (NM_026651, intron 6 of 21)	intron (NM_026651, intron 6 of 21)	1819	NM_001290658	68273	Mm.196045	NM_026651	ENSMUSG00000028700	Pomgnt1	0610016I07Rik|4930467B06Rik	protein O-linked mannose beta 1,2-N-acetylglucosaminyltransferase	protein-coding
3367	chr19	47129001	47129500	+	0	NA	exon (NM_011053, exon 33 of 36)	exon (NM_011053, exon 33 of 36)	9044	NM_133746	72691	Mm.31663	NM_133746	ENSMUSG00000033033	Calhm2	2810048G17Rik|Fam26b	calcium homeostasis modulator family member 2	protein-coding
771	chr4	16167501	16168000	+	0	NA	intron (NR_045765, intron 1 of 6)	B3|SINE|B2	3640	NR_045765	100415915	Mm.387180	NR_045765	ENSMUSG00000085112	A530072M11Rik	-	RIKEN cDNA gene A530072M11	ncRNA
387	chr2	166647001	166647500	+	0	NA	intron (NM_177782, intron 1 of 39)	intron (NM_177782, intron 1 of 39)	66582	NM_177782	277360	Mm.34420	NM_177782	ENSMUSG00000039621	Prex1	G630042G04|P-REX1|Setd6	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1	protein-coding
