,chrom,start,end
chr1_0,chr1,0,25000
chr1_1,chr1,25000,50000
chr1_2,chr1,50000,75000
chr1_3,chr1,75000,100000
chr1_4,chr1,100000,125000
chr1_5,chr1,125000,150000
chr1_6,chr1,150000,175000
chr1_7,chr1,175000,200000
chr1_8,chr1,200000,225000
chr1_9,chr1,225000,250000
chr1_10,chr1,250000,275000
chr1_11,chr1,275000,300000
chr1_12,chr1,300000,325000
chr1_13,chr1,325000,350000
chr1_14,chr1,350000,375000
chr1_15,chr1,375000,400000
chr1_16,chr1,400000,425000
chr1_17,chr1,425000,450000
chr1_18,chr1,450000,475000
chr1_19,chr1,475000,500000
chr1_20,chr1,500000,525000
chr1_21,chr1,525000,550000
chr1_22,chr1,550000,575000
chr1_23,chr1,575000,600000
chr1_24,chr1,600000,625000
chr1_25,chr1,625000,650000
chr1_26,chr1,650000,675000
chr1_27,chr1,675000,700000
chr1_28,chr1,700000,725000
chr1_29,chr1,725000,750000
chr1_30,chr1,750000,775000
chr1_31,chr1,775000,800000
chr1_32,chr1,800000,825000
chr1_33,chr1,825000,850000
chr1_34,chr1,850000,875000
chr1_35,chr1,875000,900000
chr1_36,chr1,900000,925000
chr1_37,chr1,925000,950000
chr1_38,chr1,950000,975000
chr1_39,chr1,975000,1000000
chr1_40,chr1,1000000,1025000
chr1_41,chr1,1025000,1050000
chr1_42,chr1,1050000,1075000
chr1_43,chr1,1075000,1100000
chr1_44,chr1,1100000,1125000
chr1_45,chr1,1125000,1150000
chr1_46,chr1,1150000,1175000
chr1_47,chr1,1175000,1200000
chr1_48,chr1,1200000,1225000
chr1_49,chr1,1225000,1250000
chr1_50,chr1,1250000,1275000
chr1_51,chr1,1275000,1300000
chr1_52,chr1,1300000,1325000
chr1_53,chr1,1325000,1350000
chr1_54,chr1,1350000,1375000
chr1_55,chr1,1375000,1400000
chr1_56,chr1,1400000,1425000
chr1_57,chr1,1425000,1450000
chr1_58,chr1,1450000,1475000
chr1_59,chr1,1475000,1500000
chr1_60,chr1,1500000,1525000
chr1_61,chr1,1525000,1550000
chr1_62,chr1,1550000,1575000
chr1_63,chr1,1575000,1600000
chr1_64,chr1,1600000,1625000
chr1_65,chr1,1625000,1650000
chr1_66,chr1,1650000,1675000
chr1_67,chr1,1675000,1700000
chr1_68,chr1,1700000,1725000
chr1_69,chr1,1725000,1750000
chr1_70,chr1,1750000,1775000
chr1_71,chr1,1775000,1800000
chr1_72,chr1,1800000,1825000
chr1_73,chr1,1825000,1850000
chr1_74,chr1,1850000,1875000
chr1_75,chr1,1875000,1900000
chr1_76,chr1,1900000,1925000
chr1_77,chr1,1925000,1950000
chr1_78,chr1,1950000,1975000
chr1_79,chr1,1975000,2000000
chr1_80,chr1,2000000,2025000
chr1_81,chr1,2025000,2050000
chr1_82,chr1,2050000,2075000
chr1_83,chr1,2075000,2100000
chr1_84,chr1,2100000,2125000
chr1_85,chr1,2125000,2150000
chr1_86,chr1,2150000,2175000
chr1_87,chr1,2175000,2200000
chr1_88,chr1,2200000,2225000
chr1_89,chr1,2225000,2250000
chr1_90,chr1,2250000,2275000
chr1_91,chr1,2275000,2300000
chr1_92,chr1,2300000,2325000
chr1_93,chr1,2325000,2350000
chr1_94,chr1,2350000,2375000
chr1_95,chr1,2375000,2400000
chr1_96,chr1,2400000,2425000
chr1_97,chr1,2425000,2450000
chr1_98,chr1,2450000,2475000
chr1_99,chr1,2475000,2500000
chr1_100,chr1,2500000,2525000
chr1_101,chr1,2525000,2550000
chr1_102,chr1,2550000,2575000
chr1_103,chr1,2575000,2600000
chr1_104,chr1,2600000,2625000
chr1_105,chr1,2625000,2650000
chr1_106,chr1,2650000,2675000
chr1_107,chr1,2675000,2700000
chr1_108,chr1,2700000,2725000
chr1_109,chr1,2725000,2750000
chr1_110,chr1,2750000,2775000
chr1_111,chr1,2775000,2800000
chr1_112,chr1,2800000,2825000
chr1_113,chr1,2825000,2850000
chr1_114,chr1,2850000,2875000
chr1_115,chr1,2875000,2900000
chr1_116,chr1,2900000,2925000
chr1_117,chr1,2925000,2950000
chr1_118,chr1,2950000,2975000
chr1_119,chr1,2975000,3000000
chr1_120,chr1,3000000,3025000
chr1_121,chr1,3025000,3050000
chr1_122,chr1,3050000,3075000
chr1_123,chr1,3075000,3100000
chr1_124,chr1,3100000,3125000
chr1_125,chr1,3125000,3150000
chr1_126,chr1,3150000,3175000
chr1_127,chr1,3175000,3200000
chr1_128,chr1,3200000,3225000
chr1_129,chr1,3225000,3250000
chr1_130,chr1,3250000,3275000
chr1_131,chr1,3275000,3300000
chr1_132,chr1,3300000,3325000
chr1_133,chr1,3325000,3350000
chr1_134,chr1,3350000,3375000
chr1_135,chr1,3375000,3400000
chr1_136,chr1,3400000,3425000
chr1_137,chr1,3425000,3450000
chr1_138,chr1,3450000,3475000
chr1_139,chr1,3475000,3500000
chr1_140,chr1,3500000,3525000
chr1_141,chr1,3525000,3550000
chr1_142,chr1,3550000,3575000
chr1_143,chr1,3575000,3600000
chr1_144,chr1,3600000,3625000
chr1_145,chr1,3625000,3650000
chr1_146,chr1,3650000,3675000
chr1_147,chr1,3675000,3700000
chr1_148,chr1,3700000,3725000
chr1_149,chr1,3725000,3750000
chr1_150,chr1,3750000,3775000
chr1_151,chr1,3775000,3800000
chr1_152,chr1,3800000,3825000
chr1_153,chr1,3825000,3850000
chr1_154,chr1,3850000,3875000
chr1_155,chr1,3875000,3900000
chr1_156,chr1,3900000,3925000
chr1_157,chr1,3925000,3950000
chr1_158,chr1,3950000,3975000
chr1_159,chr1,3975000,4000000
chr1_160,chr1,4000000,4025000
chr1_161,chr1,4025000,4050000
chr1_162,chr1,4050000,4075000
chr1_163,chr1,4075000,4100000
chr1_164,chr1,4100000,4125000
chr1_165,chr1,4125000,4150000
chr1_166,chr1,4150000,4175000
chr1_167,chr1,4175000,4200000
chr1_168,chr1,4200000,4225000
chr1_169,chr1,4225000,4250000
chr1_170,chr1,4250000,4275000
chr1_171,chr1,4275000,4300000
chr1_172,chr1,4300000,4325000
chr1_173,chr1,4325000,4350000
chr1_174,chr1,4350000,4375000
chr1_175,chr1,4375000,4400000
chr1_176,chr1,4400000,4425000
chr1_177,chr1,4425000,4450000
chr1_178,chr1,4450000,4475000
chr1_179,chr1,4475000,4500000
chr1_180,chr1,4500000,4525000
chr1_181,chr1,4525000,4550000
chr1_182,chr1,4550000,4575000
chr1_183,chr1,4575000,4600000
chr1_184,chr1,4600000,4625000
chr1_185,chr1,4625000,4650000
chr1_186,chr1,4650000,4675000
chr1_187,chr1,4675000,4700000
