,8wk,9mo,18mo,18mo-8wk,celltype,bulk.18mo,bulk.8wk,bulk.9mo
chr1_2236,0.17065868263473055,0.1407185628742515,0.19204448246364414,0.021385799828913588,Oligo_NN,2,2,0
chr2_531,0.15269461077844312,0.16552609067579127,0.20444824636441403,0.0517536355859709,Oligo_NN,2,2,2
chr2_1990,0.12446535500427716,0.16039349871685202,0.17621899059024806,0.0517536355859709,Oligo_NN,2,2,2
chr3_594,0.09837467921300257,0.10949529512403763,0.15996578272027373,0.061591103507271164,Oligo_NN,2,2,2
chr5_2936,0.18306244653550044,0.20701454234388367,0.23353293413173654,0.0504704875962361,Oligo_NN,2,2,2
chr8_3978,0.05902480752780154,0.08810949529512403,0.11377245508982035,0.05474764756201882,Oligo_NN,0,0,0
chr9_982,0.3532934131736527,0.3798118049615056,0.4341317365269461,0.08083832335329338,Oligo_NN,2,2,2
chr9_1679,0.2887082976903336,0.3306244653550043,0.35543199315654406,0.06672369546621043,Oligo_NN,2,2,2
chr11_503,0.1223267750213858,0.13815226689478186,0.1740804106073567,0.05175363558597092,Oligo_NN,0,0,0
chr12_1278,0.20658682634730538,0.18135158254918735,0.2352437981180496,0.028656971770744222,Oligo_NN,2,2,2
chr12_2117,0.2934131736526946,0.31223267750213857,0.36911890504704875,0.07570573139435416,Oligo_NN,2,2,2
chr13_787,0.11633875106929,0.15012831479897348,0.18562874251497005,0.06928999144568006,Oligo_NN,2,2,2
chr13_812,0.23011120615911035,0.227972626176219,0.281437125748503,0.05132591958939264,Oligo_NN,2,2,2
chr13_3234,0.1497005988023952,0.18306244653550044,0.20444824636441403,0.05474764756201883,Oligo_NN,2,2,2
chr15_858,0.07142857142857142,0.10692899914456801,0.12147134302822926,0.05004277159965784,Oligo_NN,1,1,0
chr15_2395,0.1971770744225834,0.21171941830624466,0.24850299401197604,0.05132591958939264,Oligo_NN,2,2,2
chr17_1997,0.2172797262617622,0.21642429426860565,0.26817792985457656,0.050898203592814356,Oligo_NN,2,2,2
chr18_1609,0.10949529512403763,0.14029084687767324,0.1680923866552609,0.05859709153122328,Oligo_NN,2,0,0
chr3_1488,0.022222222222222223,0.1259259259259259,0.022222222222222223,0.0,PAG-PPN_Pax5_Sox21_Gaba,0,0,0
chr6_5906,0.0962962962962963,0.014814814814814815,0.014814814814814815,-0.08148148148148149,PAG-PPN_Pax5_Sox21_Gaba,0,0,0
chr7_4378,0.15555555555555556,0.1259259259259259,0.3037037037037037,0.14814814814814814,PAG-PPN_Pax5_Sox21_Gaba,0,2,2
chr8_239,0.02962962962962963,0.0962962962962963,0.0,-0.02962962962962963,PAG-PPN_Pax5_Sox21_Gaba,0,0,0
chr10_1840,0.014814814814814815,0.15555555555555556,0.05185185185185185,0.037037037037037035,PAG-PPN_Pax5_Sox21_Gaba,0,0,2
chr10_4739,0.0,0.05925925925925926,0.0,0.0,PAG-PPN_Pax5_Sox21_Gaba,0,0,0
chr17_2479,0.06666666666666667,0.0,0.007407407407407408,-0.05925925925925926,PAG-PPN_Pax5_Sox21_Gaba,0,0,0
chr1_657,0.1,0.06666666666666667,0.1511111111111111,0.05111111111111111,L23_IT_CTX_Glut,0,0,0
chr1_1461,0.12444444444444444,0.18666666666666668,0.22,0.09555555555555556,L23_IT_CTX_Glut,1,1,0
chr1_2319,0.06666666666666667,0.09777777777777778,0.14222222222222222,0.07555555555555556,L23_IT_CTX_Glut,2,0,2
chr1_3498,0.13111111111111112,0.13777777777777778,0.22444444444444445,0.09333333333333332,L23_IT_CTX_Glut,0,0,0
chr1_3510,0.3022222222222222,0.24444444444444444,0.36,0.05777777777777776,L23_IT_CTX_Glut,1,0,0
chr1_3705,0.07777777777777778,0.12222222222222222,0.17333333333333334,0.09555555555555556,L23_IT_CTX_Glut,0,0,0
chr1_4764,0.13777777777777778,0.11333333333333333,0.2,0.062222222222222234,L23_IT_CTX_Glut,2,2,2
chr1_5015,0.14444444444444443,0.15333333333333332,0.23777777777777778,0.09333333333333335,L23_IT_CTX_Glut,2,2,2
chr1_5058,0.08444444444444445,0.09555555555555556,0.1688888888888889,0.08444444444444445,L23_IT_CTX_Glut,2,2,2
chr1_5154,0.18888888888888888,0.1111111111111111,0.2288888888888889,0.04000000000000001,L23_IT_CTX_Glut,2,2,2
chr1_5385,0.06888888888888889,0.1511111111111111,0.12222222222222222,0.05333333333333333,L23_IT_CTX_Glut,2,2,2
chr1_6222,0.1688888888888889,0.2311111111111111,0.2911111111111111,0.1222222222222222,L23_IT_CTX_Glut,2,2,2
chr1_6429,0.1511111111111111,0.14666666666666667,0.23777777777777778,0.08666666666666667,L23_IT_CTX_Glut,2,2,2
chr1_6825,0.23333333333333334,0.14222222222222222,0.23333333333333334,0.0,L23_IT_CTX_Glut,1,1,1
chr1_7274,0.10222222222222223,0.13333333333333333,0.20222222222222222,0.09999999999999999,L23_IT_CTX_Glut,2,0,2
chr1_7302,0.1711111111111111,0.16666666666666666,0.26,0.0888888888888889,L23_IT_CTX_Glut,2,2,2
chr2_185,0.07111111111111111,0.06,0.12666666666666668,0.055555555555555566,L23_IT_CTX_Glut,0,0,0
chr2_2418,0.06444444444444444,0.024444444444444446,0.08888888888888889,0.02444444444444445,L23_IT_CTX_Glut,2,2,0
chr2_2480,0.051111111111111114,0.06222222222222222,0.11555555555555555,0.06444444444444444,L23_IT_CTX_Glut,0,0,0
chr2_2972,0.028888888888888888,0.03777777777777778,0.08444444444444445,0.05555555555555556,L23_IT_CTX_Glut,0,0,0
chr2_3109,0.12222222222222222,0.09777777777777778,0.18,0.057777777777777775,L23_IT_CTX_Glut,2,0,2
chr2_3644,0.11555555555555555,0.12444444444444444,0.19555555555555557,0.08000000000000002,L23_IT_CTX_Glut,1,0,1
chr2_4594,0.09111111111111111,0.028888888888888888,0.057777777777777775,-0.03333333333333334,L23_IT_CTX_Glut,0,0,0
chr2_4835,0.07777777777777778,0.09111111111111111,0.15555555555555556,0.07777777777777778,L23_IT_CTX_Glut,0,0,0
chr2_5081,0.044444444444444446,0.06666666666666667,0.11333333333333333,0.06888888888888889,L23_IT_CTX_Glut,0,0,0
chr2_5125,0.06,0.06222222222222222,0.12444444444444444,0.06444444444444444,L23_IT_CTX_Glut,0,0,0
chr2_5144,0.1111111111111111,0.10666666666666667,0.18666666666666668,0.07555555555555557,L23_IT_CTX_Glut,2,2,2
chr2_5251,0.07555555555555556,0.10222222222222223,0.15333333333333332,0.07777777777777777,L23_IT_CTX_Glut,2,0,0
chr2_5261,0.14666666666666667,0.14666666666666667,0.23777777777777778,0.09111111111111111,L23_IT_CTX_Glut,1,2,2
chr2_5912,0.035555555555555556,0.06222222222222222,0.10222222222222223,0.06666666666666668,L23_IT_CTX_Glut,0,0,0
chr2_5925,0.1622222222222222,0.13555555555555557,0.23777777777777778,0.07555555555555557,L23_IT_CTX_Glut,2,2,2
chr2_6576,0.14444444444444443,0.1288888888888889,0.2222222222222222,0.07777777777777778,L23_IT_CTX_Glut,2,2,2
chr2_6620,0.3333333333333333,0.3488888888888889,0.45111111111111113,0.11777777777777781,L23_IT_CTX_Glut,1,1,1
chr2_6643,0.1,0.09333333333333334,0.1688888888888889,0.06888888888888889,L23_IT_CTX_Glut,2,2,2
chr2_6836,0.30666666666666664,0.24444444444444444,0.37333333333333335,0.06666666666666671,L23_IT_CTX_Glut,2,2,2
chr3_357,0.19555555555555557,0.19777777777777777,0.28888888888888886,0.0933333333333333,L23_IT_CTX_Glut,1,1,1
chr3_890,0.12444444444444444,0.057777777777777775,0.13111111111111112,0.006666666666666682,L23_IT_CTX_Glut,2,2,2
chr3_1098,0.044444444444444446,0.035555555555555556,0.09111111111111111,0.04666666666666667,L23_IT_CTX_Glut,2,0,1
chr3_1190,0.05333333333333334,0.10444444444444445,0.13555555555555557,0.08222222222222222,L23_IT_CTX_Glut,0,0,2
chr3_1293,0.13555555555555557,0.07333333333333333,0.17777777777777778,0.04222222222222222,L23_IT_CTX_Glut,1,2,2
chr3_3250,0.035555555555555556,0.024444444444444446,0.07777777777777778,0.042222222222222223,L23_IT_CTX_Glut,0,0,0
chr3_4052,0.10222222222222223,0.09777777777777778,0.18444444444444444,0.08222222222222221,L23_IT_CTX_Glut,1,0,0
chr3_4083,0.024444444444444446,0.04666666666666667,0.08444444444444445,0.06,L23_IT_CTX_Glut,0,0,0
chr3_5768,0.15333333333333332,0.10222222222222223,0.20222222222222222,0.0488888888888889,L23_IT_CTX_Glut,2,1,0
chr3_6301,0.20222222222222222,0.12444444444444444,0.2288888888888889,0.026666666666666672,L23_IT_CTX_Glut,2,2,2
chr4_4237,0.07333333333333333,0.044444444444444446,0.12222222222222222,0.048888888888888885,L23_IT_CTX_Glut,2,0,0
chr4_4957,0.15555555555555556,0.14666666666666667,0.25333333333333335,0.0977777777777778,L23_IT_CTX_Glut,1,1,1
chr4_5119,0.11777777777777777,0.12444444444444444,0.2111111111111111,0.09333333333333334,L23_IT_CTX_Glut,2,2,2
chr4_5466,0.27555555555555555,0.21333333333333335,0.3933333333333333,0.11777777777777776,L23_IT_CTX_Glut,2,2,2
chr5_1974,0.16444444444444445,0.12,0.21777777777777776,0.053333333333333316,L23_IT_CTX_Glut,2,2,2
chr5_1999,0.06666666666666667,0.10666666666666667,0.16444444444444445,0.09777777777777778,L23_IT_CTX_Glut,0,0,0
chr5_2783,0.12,0.06888888888888889,0.05555555555555555,-0.06444444444444444,L23_IT_CTX_Glut,2,2,2
chr5_2972,0.20666666666666667,0.15333333333333332,0.25333333333333335,0.04666666666666669,L23_IT_CTX_Glut,2,2,2
chr5_3955,0.14,0.10444444444444445,0.19777777777777777,0.05777777777777776,L23_IT_CTX_Glut,2,2,2
chr5_5089,0.035555555555555556,0.06888888888888889,0.1,0.06444444444444444,L23_IT_CTX_Glut,0,0,0
chr5_5415,0.15555555555555556,0.15555555555555556,0.25555555555555554,0.09999999999999998,L23_IT_CTX_Glut,2,2,2
chr5_5644,0.07333333333333333,0.10444444444444445,0.1711111111111111,0.09777777777777777,L23_IT_CTX_Glut,0,0,0
chr5_5877,0.18222222222222223,0.18,0.27555555555555555,0.09333333333333332,L23_IT_CTX_Glut,2,2,2
chr6_1277,0.035555555555555556,0.08666666666666667,0.10222222222222223,0.06666666666666668,L23_IT_CTX_Glut,0,0,0
chr6_1358,0.07555555555555556,0.04888888888888889,0.12222222222222222,0.04666666666666666,L23_IT_CTX_Glut,2,2,2
chr6_3437,0.07111111111111111,0.08444444444444445,0.14888888888888888,0.07777777777777777,L23_IT_CTX_Glut,1,1,1
chr6_3910,0.12444444444444444,0.12222222222222222,0.2088888888888889,0.08444444444444446,L23_IT_CTX_Glut,2,2,2
chr6_4601,0.1688888888888889,0.1288888888888889,0.24444444444444444,0.07555555555555554,L23_IT_CTX_Glut,2,0,2
chr7_665,0.08666666666666667,0.07111111111111111,0.14888888888888888,0.06222222222222221,L23_IT_CTX_Glut,2,0,0
chr7_1387,0.16444444444444445,0.1622222222222222,0.24888888888888888,0.08444444444444443,L23_IT_CTX_Glut,2,2,2
chr7_1612,0.06,0.044444444444444446,0.10888888888888888,0.048888888888888885,L23_IT_CTX_Glut,2,0,2
chr7_1925,0.051111111111111114,0.03777777777777778,0.09555555555555556,0.044444444444444446,L23_IT_CTX_Glut,0,0,0
chr7_1998,0.1111111111111111,0.10444444444444445,0.19111111111111112,0.08000000000000002,L23_IT_CTX_Glut,2,2,2
chr7_2058,0.051111111111111114,0.024444444444444446,0.08666666666666667,0.035555555555555556,L23_IT_CTX_Glut,0,2,2
chr7_2178,0.02666666666666667,0.011111111111111112,0.06444444444444444,0.03777777777777777,L23_IT_CTX_Glut,2,0,0
chr7_2488,0.057777777777777775,0.04888888888888889,0.10888888888888888,0.05111111111111111,L23_IT_CTX_Glut,1,2,0
chr7_2612,0.20666666666666667,0.11333333333333333,0.21333333333333335,0.006666666666666682,L23_IT_CTX_Glut,2,2,0
chr7_3037,0.10888888888888888,0.1688888888888889,0.2,0.09111111111111113,L23_IT_CTX_Glut,2,2,2
chr7_3156,0.15333333333333332,0.17555555555555555,0.2511111111111111,0.0977777777777778,L23_IT_CTX_Glut,1,1,1
chr7_3503,0.1111111111111111,0.1111111111111111,0.20222222222222222,0.09111111111111111,L23_IT_CTX_Glut,2,2,2
chr7_3894,0.10888888888888888,0.08222222222222222,0.17777777777777778,0.0688888888888889,L23_IT_CTX_Glut,2,2,2
chr7_3939,0.10222222222222223,0.06666666666666667,0.15333333333333332,0.05111111111111109,L23_IT_CTX_Glut,2,2,0
chr7_4595,0.08444444444444445,0.1111111111111111,0.18,0.09555555555555555,L23_IT_CTX_Glut,2,2,2
chr7_4609,0.05555555555555555,0.024444444444444446,0.08888888888888889,0.03333333333333334,L23_IT_CTX_Glut,2,0,0
chr7_4666,0.07777777777777778,0.05555555555555555,0.12666666666666668,0.0488888888888889,L23_IT_CTX_Glut,1,0,0
chr7_4940,0.21555555555555556,0.23555555555555555,0.32,0.10444444444444445,L23_IT_CTX_Glut,2,0,0
chr7_5199,0.028888888888888888,0.024444444444444446,0.08,0.051111111111111114,L23_IT_CTX_Glut,0,0,0
chr7_5459,0.06,0.07555555555555556,0.1288888888888889,0.06888888888888889,L23_IT_CTX_Glut,2,0,2
chr7_5633,0.19777777777777777,0.21333333333333335,0.32666666666666666,0.1288888888888889,L23_IT_CTX_Glut,2,0,2
chr8_879,0.09333333333333334,0.07111111111111111,0.17333333333333334,0.08,L23_IT_CTX_Glut,2,2,2
chr8_1280,0.05555555555555555,0.08666666666666667,0.13777777777777778,0.08222222222222222,L23_IT_CTX_Glut,2,2,2
chr8_1393,0.18888888888888888,0.14444444444444443,0.24666666666666667,0.05777777777777779,L23_IT_CTX_Glut,0,0,0
chr8_1419,0.1511111111111111,0.18444444444444444,0.25555555555555554,0.10444444444444442,L23_IT_CTX_Glut,2,2,2
chr8_2934,0.09777777777777778,0.12,0.18,0.08222222222222221,L23_IT_CTX_Glut,2,2,2
chr8_3721,0.13333333333333333,0.07333333333333333,0.1511111111111111,0.01777777777777778,L23_IT_CTX_Glut,2,2,2
chr8_4531,0.022222222222222223,0.04,0.07777777777777778,0.05555555555555555,L23_IT_CTX_Glut,0,0,0
chr8_4628,0.03333333333333333,0.08444444444444445,0.10222222222222223,0.06888888888888889,L23_IT_CTX_Glut,0,0,2
chr8_4659,0.08666666666666667,0.07555555555555556,0.1511111111111111,0.06444444444444444,L23_IT_CTX_Glut,0,0,0
chr9_982,0.21777777777777776,0.23777777777777778,0.3377777777777778,0.12000000000000002,L23_IT_CTX_Glut,2,2,2
chr9_1186,0.21333333333333335,0.19777777777777777,0.31333333333333335,0.1,L23_IT_CTX_Glut,2,2,2
chr9_1451,0.011111111111111112,0.028888888888888888,0.06444444444444444,0.05333333333333333,L23_IT_CTX_Glut,0,0,0
chr9_1519,0.08,0.044444444444444446,0.15333333333333332,0.07333333333333332,L23_IT_CTX_Glut,2,2,2
chr9_1639,0.03333333333333333,0.044444444444444446,0.09555555555555556,0.06222222222222223,L23_IT_CTX_Glut,0,0,0
chr9_2238,0.08222222222222222,0.08888888888888889,0.15555555555555556,0.07333333333333333,L23_IT_CTX_Glut,1,0,0
chr9_2435,0.14444444444444443,0.10222222222222223,0.20222222222222222,0.05777777777777779,L23_IT_CTX_Glut,1,2,1
