Gene Input,Vizgen Gene,Ensemble ID,Transcript,Notes,Abundance,Target Regions,Type
ENSMUSG00000000078.7,Klf6,ENSMUSG00000000078,ENSMUST00000000080,,10.62341725,94,MERFISH
ENSMUSG00000029231.15,Pdgfra,ENSMUSG00000029231,ENSMUST00000000476,,4.758227291666667,197,MERFISH
ENSMUSG00000000567.5,Sox9,ENSMUSG00000000567,ENSMUST00000000579,,7.802777791666666,95,MERFISH
ENSMUSG00000000915.15,Hip1r,ENSMUSG00000000915,ENSMUST00000000939,,9.215261208333336,152,MERFISH
ENSMUSG00000001300.16,Efnb2,ENSMUSG00000001300,ENSMUST00000001319,,7.3336274166666655,109,MERFISH
ENSMUSG00000001819.4,Hoxd13,ENSMUSG00000001819,ENSMUST00000001872,,0.023003,66,MERFISH
ENSMUSG00000002205.16,Vrk3,ENSMUSG00000002205,ENSMUST00000002275,,8.932471333333334,55,MERFISH
ENSMUSG00000003545.3,Fosb,ENSMUSG00000003545,ENSMUST00000003640,,4.595395875,111,MERFISH
ENSMUSG00000004099.16,Dnmt1,ENSMUSG00000004099,ENSMUST00000004202,,5.890806583333333,132,MERFISH
ENSMUSG00000004366.4,Sst,ENSMUSG00000004366,ENSMUST00000004480,,226.51599220833333,59,MERFISH
ENSMUSG00000005103.12,Wdr1,ENSMUSG00000005103,ENSMUST00000005234,,31.43047383333333,59,MERFISH
ENSMUSG00000022892.11,App,ENSMUSG00000022892,ENSMUST00000005406,,291.36070325,63,MERFISH
ENSMUSG00000031706.7,Rfx1,ENSMUSG00000031706,ENSMUST00000005600,,4.61175775,118,MERFISH
ENSMUSG00000005533.10,Igf1r,ENSMUSG00000005533,ENSMUST00000005671,,6.388813916666667,312,MERFISH
ENSMUSG00000005686.17,Ampd3,ENSMUSG00000005686,ENSMUST00000005829,,3.916128958333333,55,MERFISH
ENSMUSG00000005716.16,Pvalb,ENSMUSG00000005716,ENSMUST00000005860,,188.46671691666663,62,MERFISH
