PeakID (cmd=annotatePeaks.pl 500_result/Hyper.hotspot.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
322	chr5	66466001	66466500	+	0	NA	intron (NM_001201413, intron 3 of 16)	B4|SINE|B4	-128585	NM_001201416	11787	Mm.5159	NM_009686	ENSMUSG00000029207	Apbb2	2310007D03Rik|FE65L1|Rirl1|TR2L|Zfra	amyloid beta (A4) precursor protein-binding, family B, member 2	protein-coding
826	chr15	80671501	80672000	+	0	NA	promoter-TSS (NM_145986)	promoter-TSS (NM_145986)	-97	NM_145986	213956	Mm.132439	NM_145986	ENSMUSG00000022408	Fam83f	AW544981	family with sequence similarity 83, member F	protein-coding
555	chr9	22430001	22430500	+	0	NA	intron (NM_026739, intron 2 of 6)	intron (NM_026739, intron 2 of 6)	18739	NR_152381	68283	Mm.280669	NM_026739	ENSMUSG00000036411	9530077C05Rik	1110003N12Rik|mKIAA0895	RIKEN cDNA 9530077C05 gene	protein-coding
759	chr13	40730001	40730500	+	0	NA	5' UTR (NM_001122948, exon 1 of 7)	5' UTR (NM_001122948, exon 1 of 7)	207	NM_001122948	21418	Mm.85544	NM_011547	ENSMUSG00000021359	Tfap2a	AP-2|AP2alpha|Ap-2 (a)|Ap2|Ap2tf|Tcfap2a	transcription factor AP-2, alpha	protein-coding
202	chr4	82538001	82538500	+	0	NA	intron (NR_137202, intron 1 of 1)	intron (NR_137202, intron 1 of 1)	30261	NR_137202	102635783	Mm.41666	NR_137202		Gm11266	-	predicted gene 11266	ncRNA
201	chr4	82538501	82539000	+	0	NA	intron (NR_137202, intron 1 of 1)	intron (NR_137202, intron 1 of 1)	30761	NR_137202	102635783	Mm.41666	NR_137202		Gm11266	-	predicted gene 11266	ncRNA
321	chr5	74057501	74058000	+	0	NA	intron (NM_177561, intron 1 of 8)	(GAA)n|Simple_repeat|Simple_repeat	10661	NM_177561	69727	Mm.48795	NM_177561	ENSMUSG00000054814	Usp46	1190009E20Rik|2410018I08Rik|AI451644	ubiquitin specific peptidase 46	protein-coding
959	chrX	151047501	151048000	+	0	NA	exon (NM_008001, exon 1 of 18)	exon (NM_008001, exon 1 of 18)	580	NM_008001	14163	Mm.8142	NM_008001	ENSMUSG00000025265	Fgd1	ZFYVE3	FYVE, RhoGEF and PH domain containing 1	protein-coding
153	chr2	115859501	115860000	+	0	NA	Intergenic	Intergenic	204869	NM_001346038	17536	Mm.247566	NM_010825	ENSMUSG00000027210	Meis2	A430109D20Rik|Mrg1|Stra10	Meis homeobox 2	protein-coding
210	chr4	137038001	137038500	+	0	NA	intron (NM_198248, intron 1 of 18)	intron (NM_198248, intron 1 of 18)	10445	NM_198248	230848	Mm.31068	NM_198248	ENSMUSG00000060862	Zbtb40	BC059177|C230087D24|Gm571|mKIAA0478	zinc finger and BTB domain containing 40	protein-coding
